src,dest
DCA,MIA
CTU,BKK
HRB,YCU
ISB,CDG
KWT,BET
HGH,XFN
SLC,FAR
SHA,KWE
DMM,ABT
ATL,MUC
NTE,MPL
ATH,BRU
ICN,JFK
URC,LBD
DZN,ALA
ZRH,ALC
SSA,REC
SYD,DXB
DUS,ALC
VKO,TSE
JNB,HRE
DLC,XMN
GRQ,LPA
SXB,MAD
SLA,COR
BUF,LAS
CFC,CWB
CMB,GAN
IST,ORD
YWG,YRT
GOT,TXL
LIS,EIN
LGW,NTE
FAO,XRY
DFW,SAF
IAH,YUL
AYT,VKO
BAZ,MAO
BEN,JED
DYU,SHJ
UMD,JQA
MBT,MNL
CNX,UTH
MRV,VKO
MRX,IFN
MKE,PHX
MCZ,AJU
HNL,DEN
PIS,LRH
LEX,MSP
RHO,AMS
CAI,ASM
AYP,LIM
BTV,DCA
RYG,RZE
MAN,CGN
VCP,MII
DEN,AUS
VCE,SVO
DEN,GJT
NAP,BCN
TRW,NAN
DVO,PPS
PLU,MOC
ORD,MOB
OLB,STR
LUX,BVC
BEY,KWI
YXU,YYC
JAI,BOM
RUH,CAN
BHX,ORK
STN,TLN
SVG,ABZ
SAW,DOH
CUN,OAX
NCE,GVA
HAM,ADB
WAW,ZAD
POP,FRA
CKG,XNN
EWR,PVG
VIE,MSQ
TSN,SIN
MSQ,WAW
PRN,MUC
SMS,TMM
TPA,CMH
CEE,HEL
KHV,YKS
GUA,SJO
AMM,FCO
SHJ,CCJ
BMI,ORD
NNG,LHW
VNO,IEV
BLK,DUB
MHT,CLT
DPS,WGP
CWB,EZE
TBZ,DXB
KWI,IAD
TIU,WLG
TAO,KHH
TPA,GNV
BNE,ICN
SLC,MSN
STN,NAP
KGD,TXL
MSY,HOU
DWC,KUF
STT,NEV
SYD,RAR
BLR,JAI
JNB,TET
SYD,NKG
SAW,KBP
EWR,BTV
YZF,YRA
IST,TUN
DEN,JFK
SZX,HKT
PEK,CMB
MIA,FDF
GDN,BHX
BJL,RAI
PSM,SFB
NBE,BRS
HDF,FRA
ZRH,LGW
BMI,DFW
VEL,SLC
IAH,DTW
BGY,WRO
MAD,BSL
GSO,PHL
CMN,RAI
STN,LYS
ILR,ABV
BDJ,SRG
CWB,MGF
PUS,KUL
ASU,EZE
PMI,DUS
SPR,CUK
URC,DNH
SNN,WRO
DLM,BHX
BOG,FLL
BEB,SYY
LDB,POA
ATH,JKH
ATL,MBS
ERF,LGW
DLU,CTU
ADB,HAM
PKA,BET
CUR,CCS
MSP,YYZ
SKG,LCA
TRC,CUN
MDE,PTY
SEA,KOA
GIS,AKL
IKT,UUD
YYC,YUL
DUB,MXP
WDH,WVB
TPS,GOA
DGA,INB
OPO,MXP
CRK,DOH
LTN,GDN
PHX,BNA
TLV,ATH
CLE,CHS
IAD,MIA
MCT,DWC
PRG,BGO
PBI,LAX
CZX,CKG
NGO,HAN
TSF,CAG
NNM,KVX
GOT,IST
RTM,MPL
WLG,AKL
LGG,AJA
LAS,CLT
PUS,OKA
RIX,LCA
GDL,ONT
BUX,IRP
FAT,DEN
OVS,EYK
DME,KOV
DBV,FCO
TUN,IST
LHR,SIN
NNG,TPE
KIV,OTP
BRS,REU
LGW,TLS
RDU,EWR
SEA,BLI
NCE,TXL
BSB,BRA
HKG,HKT
YVR,LAX
TNR,FTU
TRN,LGW
TUN,BLQ
BOM,IXC
MXP,LCA
DEL,KUL
JFK,CMH
SXM,CDG
LAX,NRT
DME,TJM
SDF,IAD
RAS,SYZ
RDU,ATL
LTN,MJV
CMB,DEL
DXB,MAN
AUH,DEL
BVA,PSA
MAG,POM
NYU,MDL
KHN,CKG
LIN,PSR
EDI,TFS
LGW,VIE
SJW,SHE
CLE,DFW
ATD,HIR
YQR,YEG
BLR,LHR
FUE,ZRH
PSA,BCN
SFO,EWR
BHD,EDI
KCH,SIN
BTV,LGA
LPA,MUC
POL,BEW
WRO,GRO
YYJ,SEA
KUL,HKG
YVR,SFO
LAX,PVR
HND,KMQ
MFU,LUN
SMF,BOI
AYQ,ASP
MJV,OSL
MFM,NRT
PSA,GRO
RAK,CIA
PEK,OVB
NOU,AKL
AUS,HRL
GOT,NCE
SFO,ATL
BRS,BUD
YRT,YTH
GVA,ALG
CTG,PTY
RDU,SLC
DUB,STR
SUK,YKS
MTY,IAH
LOS,BEY
CUR,MIA
TAS,TJM
LGA,RSW
SJL,TFF
BET,KPN
POM,KVG
SAL,RTB
POM,BUL
PMO,MRS
CCU,NAG
KIN,GEO
BRS,EGC
COK,AUH
CMU,POM
DSN,HET
IST,DUB
HAJ,ADB
PIE,HTS
COO,PNR
VRC,MNL
SDJ,GUM
CSX,TAO
FOC,DLC
JFK,SXM
BAL,IST
KHH,HUN
CMN,TRN
TAO,PUS
BOM,BHO
CGO,BKK
TKU,ALC
WUH,SIN
TSN,NBS
FTE,AEP
HAD,VXO
LHR,AUS
KJA,OSS
LED,KRR
JFK,FRA
LAX,COS
ATL,MIA
CBQ,ABV
FIH,CDG
SJD,YYC
HRE,JNB
WAW,VIE
AGP,YUL
RBY,GAL
INZ,TMR
OLC,TFF
TFS,PIK
ACC,ABV
ATL,AVP
EIN,CFU
NGS,UKB
YKQ,YNS
PMI,FKB
SAN,LIH
JHB,KUL
CTU,JUH
HEL,JOE
IXU,DEL
LTN,TLV
TUN,DJE
LKO,MCT
POS,TAB
CNF,VIX
RZE,LTN
SVX,PRG
HAM,DJE
LGW,TFS
UPG,TIM
DUB,LTN
GYD,LHR
BFJ,NAY
STL,JBR
BLQ,TXL
BGI,YYZ
OSL,ABZ
QBC,YAA
HBE,KWI
ORD,CWA
LHR,AMS
IAH,YYZ
KHH,PUS
BFS,BCN
MXP,BDS
LGW,ALC
VIE,PEK
ACE,BHX
DPS,SRG
KBP,TLV
PSA,EMA
IQN,LHW
JIB,DIR
STN,BCN
DME,OGZ
MXP,HAJ
DTW,PHX
BOS,ACY
HET,ERL
LHR,JFK
KIX,NRT
MAD,AGP
DXB,COK
EUX,SXM
PMY,AEP
IRC,FAI
EBL,AYT
PBM,CUR
LGW,VRN
STN,GRO
NBO,FIH
ALG,ETZ
CLT,MBJ
KBP,MUC
OKA,NGS
SFB,GSP
LJU,HEL
GYS,SZX
RUH,GVA
WRO,CHQ
MIG,CSX
WNZ,KMG
ZUH,KWE
LED,KGF
TSV,WIN
DFW,RIC
ZRH,HEL
POM,SIN
PAP,PLS
DUS,HEL
CPH,YYZ
BEG,BRU
LMC,VVC
OAK,DFW
MIA,PHL
PSA,MAN
BRS,BOD
NRT,FUK
IXM,MAA
LAS,CMH
PDV,HHN
YGZ,YRB
KUL,TWU
SDJ,ITM
AMS,SFB
GRZ,VIE
PRG,ATH
KRT,AUH
AXA,SJU
SLM,BCN
CKB,IAD
CKG,HKG
ASU,PTY
OTP,DWC
ACC,TML
ICN,HNL
FKB,BRI
OLA,OSL
SCO,VKO
BNE,BDB
EWR,IAD
SEN,JER
FRA,SZG
BRU,DEL
APL,NBO
ESB,TZX
FNC,BHX
VIE,KLX
VAR,SOF
FUE,BCN
HEL,KBP
PUS,REP
SHA,BFJ
BRC,AEP
ATY,PIR
NBO,JIB
LSC,CPO
KUT,KTW
CLT,GNV
CGP,CCU
SVU,TVU
OAK,EUG
JER,ORK
MSR,SAW
LUX,FCO
APL,POL
THL,HEH
OTP,IAS
SVO,DRS
DUS,CWL
TXN,CSX
DLC,HKG
ATL,SJC
LAX,MDW
CHQ,STN
PVG,HFE
PVG,FSZ
BYO,VCP
NRL,NDY
BRS,RAK
LIN,MAD
EIN,BEG
TMM,RUN
YIH,SZX
TBZ,MHD
CGN,SZG
ESB,BJV
CCU,BLR
DOH,ATH
BAV,WUH
MRS,VLC
SDF,LAS
VAR,LUX
LED,BOJ
NBE,TXL
MAD,GRU
LAS,FRA
PTY,GYE
OTP,MAD
YFB,YAB
MLM,LAX
DXB,ISU
KOA,OGG
BHY,CKG
DXB,LOS
PER,KNX
YGT,YIO
CSX,CJU
BOG,MIA
GVA,CPH
FOC,CGK
MUC,KVA
SXF,DJE
EDI,SNN
KMJ,ITM
PBZ,CPT
SCO,URA
BIL,GDV
LYS,MAD
JDO,GRU
CLT,LAX
AUA,BON
ORD,CMX
DLC,LYA
GRZ,TFS
YTL,XBE
PEN,KBR
STN,CHQ
YNC,YKU
DEL,SYD
ALF,VDS
XIY,FOC
TJM,EVN
DEN,HNL
EZE,CDG
PUJ,YQB
YVR,YPW
NNY,SHA
BDS,LIN
AHB,ADE
PRG,EVN
BKK,MXP
BWI,MDW
TUS,IAH
FRA,MCO
OVB,BTK
MLM,SFO
PDL,ARN
MSS,ALB
JJN,KWE
BET,KWN
CEK,DYU
ORD,OGG
MRS,AMS
MHD,KIH
CGQ,YNJ
NRT,YYC
STN,TMP
SON,ZGU
HRB,PVG
YGR,YQB
DME,GOJ
URJ,HMA
SOF,EIN
YAC,ZRJ
CLT,SFO
RGI,FAV
EGC,PGX
FUE,EMA
KSU,TRD
HMI,PEK
WUH,CNX
ORD,TUL
LBB,DFW
SPU,TLL
TPE,TSN
RNS,NCE
TPA,GCM
DCA,JAN
MCO,GLA
ARN,MAN
BKI,LWY
BOS,IAD
GVA,JMK
SFO,ABQ
ICN,KHH
SHA,FUG
HND,UKB
TNA,SZX
OGG,ORD
TUN,LIS
SAW,MED
BKK,NRT
YUL,CUN
OVB,KRR
ARI,IQQ
PSC,PDX
BCN,MIA
SUF,BLQ
ZRH,MAD
LUZ,TRF
SAN,OAK
DUS,MAD
FRA,LED
NCL,JER
LAX,OKC
BHM,DAL
IST,LJU
KOC,BMY
FCO,CTA
WNZ,WUH
ORY,LRT
JED,DOH
PLS,DFW
DAD,HAN
BSB,VIX
PBH,KTM
DOH,BAH
DUB,BGY
ASM,JED
OPO,BGY
RSW,CLT
ULB,PBJ
NKG,PEK
DME,ATH
BOG,SJU
MAD,OTP
OGG,DFW
YFC,YYZ
DME,MRV
PNH,HKG
ARN,LCY
MCI,DAL
HER,BSL
RTM,LHR
SFB,RFD
ORD,CHO
WRO,CIA
MEX,YVR
PPT,FAV
CAN,JJN
DJE,LEJ
BGY,KRK
EMA,REU
CCK,XCH
CCU,PNQ
GLA,AMS
WAW,LPL
GVA,SCQ
KRO,SVX
SBH,ANU
GVA,HRG
PAP,YUL
CAN,YNT
SIN,MXP
CGK,CAN
JKL,LRS
TLV,MUC
HND,KUL
BWI,OKC
TKU,HEL
YZV,YBG
VLI,NAN
INH,JNB
GCM,IAH
URT,DMK
TRN,MAD
MEL,DXB
EWR,ANU
LLI,GDQ
FOC,ZUH
EWR,HAM
RGL,CRD
DTW,CUN
TAS,MRV
MCO,MCN
DUS,VRA
CNX,SIN
JED,LHE
BTJ,CGK
HSV,DCA
GND,POS
NAP,CDG
PPT,NRT
GRW,TER
DAD,PVG
IEV,UDJ
KMG,CTU
PEN,CAN
CPH,AAR
MAN,NOC
KUF,DXB
KOT,WBB
LJG,XIY
GLA,LGW
FOC,PEK
MSN,DEN
EWR,LAS
STM,BEL
MDW,PHX
SRG,KUL
DCA,TLH
LCG,MAD
BRI,FCO
JFK,GCM
DXB,DFW
CDG,GIG
JED,MUX
KIX,HGH
EMA,BUD
TLV,ODS
SVC,PHX
HND,OKA
TJM,UFA
SIN,NRT
KUL,OOL
FKB,ALC
CDG,MSP
KMG,DIG
LEI,SVQ
KTN,WRG
CDG,LBV
FRA,HDF
BBA,SCL
CAN,JZH
STN,CFU
LGW,HEL
PRG,UFA
UKS,DME
ORD,DLH
JAI,AMD
BHM,CLT
VIE,PMO
BTS,AGP
CMN,BOD
BHX,TFS
LIL,AGA
YHZ,YCL
CZX,CTU
KWE,XIY
AWZ,MED
AMM,OTP
OTP,LCA
DME,EVN
MMB,HND
KWI,KBL
GRO,NCL
SHA,LYG
YHI,YSY
CLM,BFI
JUU,IOT
PES,DME
JNB,LVI
DFW,EWR
TIJ,LAP
LPA,NCL
MCI,CLT
DXB,TUN
YEV,YPC
CFU,RYG
THR,KIH
PLX,UKK
ZGU,MTV
SHA,HET
VST,ALC
CGK,MEL
CKY,OXB
STN,CIA
BGY,FUE
GES,ILO
JMK,ATH
DMK,XIY
CGN,HDF
FOC,SGN
VOG,DXB
GSO,DEN
OSY,RVK
DFW,ATL
RDU,LHR
YNT,SZX
SVO,ICN
KGS,LPL
EBB,DAR
KHN,CTU
GRI,AZA
CAI,PZU
IST,KFS
SNN,FUE
KLV,SVO
MCO,ORF
LED,AZN
HYA,BOS
HOD,JED
PMV,PBL
CRL,GRO
TSF,BCN
NBO,HGA
CFU,EFL
STN,ZAZ
KHS,MCT
BGI,SVD
AMS,MLA
RSW,ILG
STR,ZAG
MSQ,VIE
NAY,CIH
HKG,HND
FCO,KWI
RAK,STN
CMN,RAK
GSO,DTW
ALA,AMS
MAA,AUH
BSB,EZE
OKA,KIJ
CHA,ATL
GOH,JHS
SVO,HAJ
ORD,RAP
CNF,PTY
SAW,RUH
ADD,LHR
RSW,CMH
ARH,USK
FCO,TRS
XMN,NAY
BCN,SIN
CIH,TSN
PPT,TUB
BTK,OVB
BPN,BEJ
ZRH,LCA
GCI,AMS
ODY,VTE
BKO,ADD
MNL,NGO
ZUH,CZX
DUS,LCA
MGB,MEL
DUB,FMM
RSA,AFA
NRL,PPW
IST,OSL
WMN,TNR
AYT,ERF
HGH,CGO
MPM,APL
PMI,AAR
MLA,BLL
SCL,COR
ZTH,EFL
ZRH,MCT
VLC,BRI
ARH,SVO
BOS,LAS
MAD,PMI
CAI,CMN
IST,KUL
VIE,SBZ
SJO,TTQ
BMU,LOP
ARN,ISU
TWU,BKI
YVB,ZBF
DUD,WLG
JRO,DAR
LIN,BDS
ICN,BNE
CEK,KZN
KHV,GDX
LIL,MRS
CMH,RSW
LPA,ALC
NAS,ZSA
SUB,MDC
DEL,CMB
YQM,YUL
CLT,RSW
PRG,TLV
SHV,DFW
KRR,TAS
ACE,BOH
PPG,HNL
LAD,MEG
PSR,STN
IKA,BAH
AER,DYU
KWI,PEW
IST,URC
CUU,TIJ
DRS,DUS
ATL,JAN
ADD,PNR
STN,PIS
CKG,XUZ
TAM,VER
LAX,PPT
HEL,BRU
MRV,ASF
CDG,NKC
TSE,ALA
CTU,NRT
KSD,ALC
OLB,TRN
YYC,YXU
LAD,MPM
TXN,TPE
ANU,UVF
TBU,SUV
HKT,CAN
DXB,CCJ
FNJ,VVO
FRA,MPL
MSY,STL
EWR,MKE
TSF,EMA
ORY,LDE
ALB,MSP
OXB,RAI
SAH,NBO
BVC,SID
GLA,CAL
CGB,CGR
YQR,YWG
BND,KIH
BOM,AMD
MFM,CRK
AHO,HHN
ADD,KGL
CIA,BLL
LGW,MAD
WMI,EIN
IBZ,CIA
SIN,TRV
DXB,DUB
HGH,TYN
YPJ,YVP
AZA,BIS
DME,UFA
OBO,HND
DTW,ERI
YEG,EWR
ESB,GZT
DLC,XUZ
TLS,LIL
PEK,HAK
CRL,CHQ
KUN,BRS
TSN,CGQ
MSP,GTF
MZG,TSA
FRA,TPE
DLC,YNZ
ARN,BEG
EMK,KOT
ZRH,FNC
ACV,SFO
DUS,FNC
TUF,RAK
MYR,IAG
PSA,LBC
YVR,KOA
BRN,TXL
WRO,WAW
LIL,FAO
TOF,SVO
AMD,KUL
TSF,CHQ
SYZ,KWI
TPA,HPN
TFS,NRN
MLA,AMS
TPS,PEG
YUL,BRU
OAX,MEX
DUB,CRL
NNB,HIR
POP,LRM
OMS,DME
ARH,MMK
LBA,VCE
MIA,YUL
AOI,TPS
TSN,SHA
GYN,SDU
BOJ,SOF
DOH,MUC
LPA,LGW
CIA,VLC
FUK,CAN
BCN,AMS
YVR,ICN
LTN,ALC
GVA,SVO
ALC,DUS
SVX,DME
LHE,SKZ
JNB,LBV
DFW,MLU
BAQ,ADZ
LIF,UVE
SLL,MCT
PKN,KTG
VCE,CGN
BCN,JFK
VKO,NCU
MGB,ADL
NKG,XNN
HND,NGS
VNO,DTM
SCL,CDG
VIE,PVK
AGP,BGO
XUZ,SZX
BEY,ADD
PIX,PDL
ANC,UNK
MUC,ADB
SUB,BTH
AMS,TBS
NNG,HGH
ATL,TLH
PEK,DEL
TYN,TSN
PNK,BTH
MCO,SAT
ORY,BKO
SHJ,MHD
MLA,LGW
BHX,SNN
LAD,MAD
HKT,MEL
MRV,DXB
MDW,CUN
HAJ,BVC
SDK,KUL
HSN,PVG
MCO,PNS
ARN,ORD
SLP,TIJ
MEL,SYD
NRT,IAD
NAP,STN
BCN,LGW
YXY,YVR
CPH,LPI
CLE,DAY
GUA,EWR
BGO,FRA
GLA,CWL
ANU,DOM
DIE,NOS
AGX,COK
BIO,SCQ
HHN,SOF
SOF,DTM
MCI,LAX
NPE,WLG
KUF,FRA
NCL,NBE
BNE,HTI
LBA,MJV
BHY,CTU
CAN,WEF
CJU,TAE
GUA,ATL
SIN,HGH
MZG,RMQ
TTN,FLL
TUL,MSP
YUL,ZSA
BOS,MKE
TIA,MXP
RHD,AEP
COK,BAH
TFS,BFS
TIJ,TGZ
DME,TLV
MIA,DTW
MZH,IST
ICN,KTM
WAW,KUT
HRL,DAL
ATH,IST
MSN,CVG
MQX,SHC
MMX,GDN
HKG,HYD
YSO,YHO
ABZ,CPH
AHB,SAH
VCP,SJP
UPN,LAX
SKG,SXF
OMA,SAN
DNK,VIE
MCI,SFO
PMV,GND
BSB,PTY
DFW,ABQ
MUC,SOF
DME,MUC
NRN,AOI
JNU,AGN
LCY,FRA
ORY,CWL
WLG,IVC
AYT,FMO
SON,WLH
CIY,HHN
RAR,MOI
BRS,GLA
LMM,GDL
SFB,FAR
YKS,DME
LGA,PHL
VIE,ALG
OSL,BNN
FRA,DLM
RUH,ABT
DAR,KGL
IJK,DME
SPR,BCV
GYE,BOG
SSH,DME
HAK,SIN
MXP,SXF
FLL,TCB
CRL,CFU
RDZ,CRL
AER,SVX
MUC,LUX
WDH,LUD
YYZ,SCL
MDT,IAD
MIA,MHH
STR,ESB
YVP,YPH
SOQ,UPG
WUH,CGQ
TRF,PSA
DXB,JUB
KMG,INC
LPL,MLA
DOK,SHJ
PLX,TSE
ALC,FKB
AUQ,UAP
CGQ,TAO
NEV,STT
GPA,PFO
LGW,LCA
BEG,GVA
LXA,PEK
NGO,HKD
YXL,KIF
JFR,GOH
ATL,CID
ADZ,BOG
IST,ADA
GRO,PSR
DKR,BJL
BHJ,BOM
UIH,HAN
MAN,ZRH
SFO,MCI
DFW,AMA
WUH,SHA
CAG,CUF
GDN,KRK
VAO,HIR
SJU,BOS
BLL,CPH
PAD,TFS
RAR,MGS
TFS,KBP
WRO,STN
CRL,CIA
CJU,SZX
MSP,FLL
DOH,ELQ
JFK,LRM
CPH,SPU
KOA,OAK
AMS,VXE
MHC,PMC
GDL,FAT
OSR,CDG
TUN,FCO
PEK,AQG
ORD,YQR
PET,POA
PHB,THE
SIN,BKI
HER,BHX
LPB,UYU
ATL,MAD
HDG,PVG
ATL,MSL
HHN,SDR
TAO,YCU
JJN,PVG
BOB,MOZ
CRL,ZAZ
OOL,SIN
AMS,DUS
LAD,BZV
BRI,TRS
AMS,IKA
TIF,KWI
CCF,EMA
KIR,STN
ICN,CEB
PRG,BRI
INC,NKG
NAV,SAW
KLV,LED
HKG,DAD
JZH,PVG
ILG,TPA
MBJ,YHZ
RYG,KRK
TXL,IST
GDL,SMF
JFK,PWM
CTU,HGH
PUW,SEA
CTS,HNL
IST,HBE
ORD,OAK
MCO,YQM
GRB,ORD
GFK,SFB
CHQ,BRE
STL,HOU
VLC,LGW
TXL,BLQ
MEM,SAT
TYN,XIY
DCA,VPS
SEA,DEN
LAS,BLI
YAY,YYT
BGO,FDE
VIE,KRK
ISG,MMY
MIA,ELH
HGA,WJR
CTA,TRN
HND,BKK
ADB,AMS
ALG,ORY
SNU,YUL
SSJ,OSL
MIA,STL
ONG,BUC
TUU,CAI
EUN,CMN
GLK,MGQ
TPE,DYG
DMK,URT
LGW,FNC
SKG,PFO
SHA,JIQ
YQU,YYC
SNN,BRS
MLE,PVG
GDN,CPH
GZP,IST
MKM,KCH
PHL,TYS
ARN,DUB
PGA,GCN
PHL,CHS
YIW,LYI
SVQ,TFN
SAN,SAT
AHB,SHJ
HGH,TNA
ARH,LED
XNA,ORD
ENY,NAY
CPH,GDN
KRS,TRD
BEG,TXL
SFO,RDM
HLH,HET
STR,FLR
PHL,ORD
CHC,SYD
CDG,LBA
KKN,OSL
TWU,SDK
VCE,NRT
AEP,NQN
MYD,WIL
SXF,KEF
LAX,SAL
BIS,MSP
JUH,CTU
MFM,CKG
TAO,WUX
BBN,MUR
BFS,STN
UAS,NYK
GYD,MSQ
CDG,ADB
LMT,SFO
CSX,DMK
FRA,ARN
BIK,UPG
STT,IAD
ACE,GLA
HEL,NGO
AVA,CAN
EVE,OSL
XNA,DFW
SVB,WMN
ATQ,TAS
SNE,SID
NKG,HKG
EWR,SYR
KUL,BPN
PHL,DFW
ABJ,ACC
SNA,MSP
OLB,BOD
UUS,EKS
PDX,BIL
LUX,PMI
KVX,NNM
YYR,YDF
KYP,RGN
IKT,HRB
VLY,CWL
AJU,GIG
JED,RUH
JUV,NAQ
BAH,KHI
JER,LPL
SHA,ZYI
VIE,CPH
FRA,LHR
CSX,NGB
SYY,BEB
VVO,ICN
XMN,SHE
VGO,TFS
STR,MAH
YHZ,BOS
SSA,NAT
SFO,IAH
BMV,HAN
BCN,CWL
ATY,MSP
PVG,DAD
MAD,DOH
CGN,ARN
KBP,HEL
CMB,DME
TLM,LYS
AUH,DME
TOS,LYR
CGQ,CJU
IAH,FLL
PBI,PHL
SXF,FCO
SRY,AWZ
SMF,CLT
TSA,HFE
GVA,EDI
ABV,LHR
PVG,KIX
IAD,BUF
MSP,MBS
BLI,AZA
KCC,EDA
CMN,ALG
MAN,BCN
FLL,FPO
SJO,IAD
SZX,RMQ
TPA,EYW
NYU,RGN
STD,PMV
RZE,MAN
GOH,RKV
OUA,BKO
MUX,DXB
DUB,BUD
ORD,HKG
BRU,BCN
DUB,MAN
TMR,INZ
YGV,YPN
BRU,ZAG
MHD,ACZ
TSJ,NGS
BUQ,HRE
HDS,CPT
FNC,GLA
PRG,NCL
EMA,DUB
MAN,GRO
CGN,LHR
SYX,WNZ
CDG,SOF
FUE,STN
MXZ,RMQ
FOC,HKG
HAJ,FCO
BIM,FLL
LCA,OTP
ZRH,RIX
VCE,LTN
CHQ,TSF
GVA,LED
HAK,SWA
DUS,RIX
SZX,SIN
UTH,DMK
SKG,RYG
MEL,BNK
LPA,MAD
ZUH,HFE
IAH,MUC
BOM,KWI
VIE,JMK
LIS,PRG
PTY,PUJ
YSB,YAM
MXP,GYD
AUS,MSP
BNA,MKL
FRA,STR
ANU,PUJ
BEY,BRU
YPM,YHP
BEG,IST
BIA,LYS
EVN,OVB
PEK,TYN
AEP,SLA
SAW,TXL
HER,KGS
ATL,BQK
RIX,RYG
YZS,YRT
CDG,LUX
MTY,MID
PAG,CEB
PVR,ORD
YXE,MSP
NGE,NSI
ARN,GOT
BRU,BIA
OMS,NJC
KMG,DXB
THN,BMA
IBZ,STN
DYG,CAN
GRR,DFW
VNO,LTN
HKG,RMQ
CGK,TPE
CPH,MUC
SVO,PSA
AHB,TIF
TAO,FUK
LEJ,MUC
USU,CEB
BOS,SYR
AMM,DOH
YAM,YQT
LIS,KIV
KTM,BOM
DXB,KUL
MRS,ORN
FOC,KWL
SBH,SJU
HAM,CTA
SYD,OAG
KRK,ARN
HEL,TKU
ICN,YVR
SLC,OMA
VDM,REL
WLG,ROT
PVG,TSA
CRL,WAW
PVR,DFW
ORD,SRQ
REP,PEK
YYH,YCB
SEA,YYZ
TIA,BGY
KCM,SAW
VIE,HRG
HKG,SIN
HET,SJW
CVG,MMU
LIM,AMS
LHR,MRS
UAK,JNS
GRU,IST
XRY,MUC
YEG,LHR
AMS,NAP
FEG,TAS
